Probeset ID,pval_severe_vs_mild,adj_pval_severe_vs_mild,ratio_severe_vs_mild,FC_severe_vs_mild,pval_severe_vs_healthy,adj_pval_severe_vs_healthy,ratio_severe_vs_healthy,FC_severe_vs_healthy
QPCT,0.631932,0.959345,1.13708,1.13708,0.1325,0.617108,1.65852,1.65852
QRICH1,0.736209,0.972199,1.0634,1.0634,0.972435,0.994596,1.00685,1.00685
QRSL1,0.792797,0.980456,1.05356,1.05356,0.770509,0.959949,0.937802,-1.06632
QSER1,0.8003,0.980953,1.07862,1.07862,0.609922,0.921938,1.1829,1.1829
QSOX1,0.0586575,0.935545,1.5936,1.5936,0.302338,0.792504,1.26576,1.26576
QTRT2,0.60452,0.956827,1.13841,1.13841,0.838365,0.96996,1.06288,1.06288
R3HCC1,0.513988,0.945857,1.17196,1.17196,0.884984,0.97796,1.0348,1.0348
R3HCC1L,0.57145,0.951046,0.883146,-1.13232,0.829288,0.96996,1.05584,1.05584
R3HDM1,0.969529,0.996865,1.00966,1.00966,0.76112,0.957504,1.08736,1.08736
R3HDM2,0.616546,0.957212,1.09064,1.09064,0.868501,0.974157,0.970057,-1.03087
R3HDM4,0.0841656,0.935545,0.589991,-1.69494,0.237426,0.738752,0.671992,-1.48811
RAB10,0.40926,0.941435,1.13697,1.13697,0.204023,0.702821,1.25413,1.25413
RAB11A,0.442814,0.94373,1.12611,1.12611,0.0964287,0.565487,1.35099,1.35099
RAB11B,0.651852,0.963217,0.858636,-1.16464,0.763641,0.957948,1.13664,1.13664
RAB11FIP1,0.35323,0.93951,0.838368,-1.19279,0.804752,0.968379,0.949386,-1.05331
RAB11FIP1P1,0.311821,0.935545,0.736096,-1.35852,0.31874,0.803915,0.720288,-1.38833
RAB11FIP2,0.877877,0.992315,1.05766,1.05766,0.524143,0.897572,0.800513,-1.2492
RAB11FIP3,0.133625,0.935545,1.94618,1.94618,0.763119,0.957893,0.907805,-1.10156
RAB11FIP4,0.0838243,0.935545,0.681418,-1.46753,0.599517,0.920514,0.869291,-1.15036
RAB14,0.914197,0.992315,1.01839,1.01839,0.932552,0.985982,0.983241,-1.01704
RAB18,0.102798,0.935545,0.705746,-1.41694,0.0559907,0.484295,0.655605,-1.52531
RAB1A,0.389552,0.940011,1.1323,1.1323,0.207354,0.705884,1.23717,1.23717
RAB1B,0.305396,0.935545,1.17072,1.17072,0.273861,0.766848,1.19176,1.19176
RAB21,0.901321,0.992315,0.95924,-1.04249,0.735674,0.952746,1.13689,1.13689
RAB22A,0.397502,0.940732,0.859717,-1.16317,0.629767,0.927231,0.908542,-1.10066
RAB24,0.475401,0.94373,0.830023,-1.20479,0.222842,0.720245,0.724266,-1.38071
RAB27A,0.022067,0.935545,1.45648,1.45648,0.0164383,0.334193,1.56934,1.56934
RAB27B,0.22369,0.935545,1.45129,1.45129,0.0751408,0.522993,1.87405,1.87405
RAB28,0.759639,0.975957,1.0593,1.0593,0.393048,0.850285,0.827217,-1.20887
RAB29,0.885709,0.992315,1.04325,1.04325,0.615391,0.924657,0.86026,-1.16244
RAB2A,0.98652,0.999452,0.996469,-1.00354,0.476083,0.880502,1.20656,1.20656
RAB2B,0.411294,0.941435,0.757397,-1.32031,0.0843132,0.543318,0.577817,-1.73065
RAB30,0.302901,0.935545,1.33004,1.33004,0.725746,0.950578,0.911565,-1.09701
RAB30-DT,0.664563,0.966553,1.1579,1.1579,0.983168,0.996969,1.00691,1.00691
RAB31,0.114241,0.935545,1.32616,1.32616,0.106,0.573764,1.35993,1.35993
RAB32,0.373304,0.93951,1.33806,1.33806,0.177033,0.67761,1.66477,1.66477
RAB33B,0.806416,0.982077,0.936553,-1.06775,0.649837,0.929455,1.15218,1.15218
RAB33B-AS1,0.378301,0.93951,1.26315,1.26315,0.934495,0.985982,0.979467,-1.02096
RAB34,0.384695,0.93951,1.22858,1.22858,0.126118,0.61219,1.5303,1.5303
RAB35,0.393609,0.940011,1.20037,1.20037,0.792579,0.96652,1.05914,1.05914
RAB36,0.112022,0.935545,1.95837,1.95837,0.538053,0.900967,1.29699,1.29699
RAB37,0.0422076,0.935545,0.66134,-1.51208,0.506638,0.890409,0.853426,-1.17175
