Probeset ID,pval_severe_vs_mild,adj_pval_severe_vs_mild,ratio_severe_vs_mild,FC_severe_vs_mild
H2AFJ,0.146025,0.291607,0.618541,-1.61671
H2AFV,0.722855,0.822973,0.901751,-1.10895
H2AFX,0.783264,0.864849,1.10536,1.10536
H2AFY,0.0035601,0.0313451,0.622717,-1.60586
H2AFY2,0.803943,0.878468,1.07616,1.07616
H2AFZ,0.87657,0.925767,1.05346,1.05346
H2BFM,0.539792,0.680685,0.883676,-1.13164
H2BFWT,0.00130197,0.0174907,1.26084,1.26084
H3.Y,0.002186,0.0235371,0.419373,-2.38451
H3F3A,0.635742,0.757624,1.13975,1.13975
H3F3B,0.969719,0.982165,0.98618,-1.01401
H3F3C,0.19872,0.35597,1.12415,1.12415
H6PD,0.0544579,0.153872,0.785173,-1.2736
