Probeset ID,pval_critical_vs_noncritical,adj_pval_critical_vs_noncritical,ratio_critical_vs_noncritical,FC_critical_vs_noncritical
SIRT1,0.256854,0.336265,1.05608,1.05608
SIRT2,0.186425,0.259005,1.10882,1.10882
SIRT3,0.265428,0.346024,0.919772,-1.08723
SIRT5,0.000436969,0.00156744,1.28798,1.28798
SIRT6,0.931667,0.947822,0.994995,-1.00503
SIRT7,2.74E-05,0.000159029,1.27535,1.27535
SIT1,1.52E-08,4.84E-07,0.606878,-1.64778
SIVA1,0.000195843,0.000801549,0.79996,-1.25006
SKA1,0.647326,0.715248,1.07554,1.07554
SKA2,0.739593,0.794835,0.968823,-1.03218
SKA3,0.161477,0.229741,1.22528,1.22528
SKAP1,2.29E-06,2.15E-05,0.5696,-1.75562
SKAP2,6.92E-09,2.77E-07,1.97529,1.97529
SKI,0.206986,0.282312,0.880697,-1.13546
SKIL,4.81E-08,1.14E-06,1.63268,1.63268
SKIV2L,0.194561,0.268149,0.928153,-1.07741
SKP1,0.0176968,0.0358323,1.20222,1.20222
SKP2,0.000893295,0.00284832,0.863353,-1.15828
SLA,0.000384662,0.00141049,1.59664,1.59664
SLA2,0.959974,0.970166,0.992464,-1.00759
SLAIN1,0.024089,0.0463874,0.855982,-1.16825
SLAIN2,0.0048733,0.0119212,1.09783,1.09783
SLAMF1,4.26E-07,5.79E-06,0.635516,-1.57352
SLAMF6,5.77E-07,7.27E-06,0.605955,-1.65029
SLAMF7,0.113155,0.169815,0.810699,-1.2335
SLAMF8,0.0352984,0.0640712,0.690065,-1.44914
SLBP,0.546213,0.624901,0.967393,-1.03371
SLC10A3,0.13392,0.195428,1.16114,1.16114
SLC10A7,0.00717272,0.0165837,0.862001,-1.16009
SLC11A1,9.78E-05,0.000454106,1.86191,1.86191
SLC11A2,0.823495,0.864577,1.01283,1.01283
SLC12A2,0.00540885,0.0130338,0.811898,-1.23168
SLC12A4,0.000346432,0.00129207,0.764787,-1.30755
SLC12A6,7.18E-06,5.36E-05,1.55948,1.55948
SLC12A7,0.679283,0.743189,0.944092,-1.05922
SLC12A9,0.000140963,0.000614561,1.53174,1.53174
SLC14A1,0.322941,0.406725,0.722781,-1.38354
SLC15A2,0.115277,0.172412,1.1527,1.1527
SLC15A3,0.00554427,0.0132889,1.33599,1.33599
SLC15A4,0.00012117,0.000541571,1.56728,1.56728
SLC16A1,0.536915,0.61598,0.951204,-1.0513
SLC16A1-AS1,0.000347254,0.00129385,0.750359,-1.3327
SLC16A10,7.79E-06,5.71E-05,0.534492,-1.87094
SLC16A13,0.28809,0.370195,0.896334,-1.11566
SLC16A14,0.0192474,0.0385166,0.612685,-1.63216
SLC16A3,2.21E-05,0.000132736,1.70414,1.70414
SLC16A4,0.000712771,0.00236778,1.4703,1.4703
SLC16A5,0.00965695,0.0214079,1.30789,1.30789
SLC16A6,0.000389077,0.0014245,1.38592,1.38592
SLC16A7,0.667063,0.732831,0.970064,-1.03086
SLC17A5,1.96E-05,0.000120255,1.27395,1.27395
SLC17A9,0.0500924,0.0858198,0.763233,-1.31022
SLC18A2,0.101062,0.154277,1.29124,1.29124
SLC18B1,0.354121,0.43854,0.896267,-1.11574
SLC19A1,0.0164769,0.0338115,1.32969,1.32969
SLC19A2,0.515186,0.595616,1.05249,1.05249
SLC1A3,7.02E-08,1.49E-06,3.70641,3.70641
SLC1A4,0.0257731,0.049146,0.758772,-1.31792
SLC1A5,0.264593,0.345155,0.799996,-1.25001
SLC1A7,0.0199473,0.0396957,0.608114,-1.64443
SLC20A1,0.773625,0.823039,0.98211,-1.01822
SLC20A2,2.33E-09,1.40E-07,0.749522,-1.33418
SLC22A1,0.00787101,0.0179727,1.56577,1.56577
SLC22A15,4.36E-07,5.90E-06,2.04985,2.04985
SLC22A16,0.1281,0.188232,1.31873,1.31873
SLC22A17,0.755841,0.808307,1.04706,1.04706
SLC22A18,0.589271,0.663599,1.07043,1.07043
SLC22A23,0.817305,0.859333,1.03293,1.03293
SLC22A4,5.86E-09,2.49E-07,2.635,2.635
SLC22A5,0.823303,0.864439,1.02015,1.02015
SLC23A2,0.645475,0.713532,0.967918,-1.03315
SLC23A3,0.0677034,0.110399,1.24662,1.24662
SLC24A1,9.76E-06,6.85E-05,0.598225,-1.67161
SLC24A3,0.103456,0.157429,1.32499,1.32499
SLC24A4,0.00818982,0.0185972,1.49929,1.49929
SLC25A1,0.00122747,0.00372466,0.808662,-1.23661
SLC25A10,0.0087239,0.0196179,0.680944,-1.46855
SLC25A11,0.357195,0.441776,0.960146,-1.04151
SLC25A12,0.0201711,0.0400396,0.888414,-1.1256
SLC25A13,0.479236,0.561917,0.960074,-1.04159
SLC25A14,0.841798,0.879424,1.00926,1.00926
SLC25A15,2.23E-05,0.000133522,0.721791,-1.38544
SLC25A16,0.121358,0.179928,0.929455,-1.0759
SLC25A17,0.000865483,0.00277565,0.861754,-1.16042
SLC25A19,0.198091,0.27198,0.919148,-1.08796
SLC25A20,0.993727,0.995736,1.00045,1.00045
SLC25A22,0.165802,0.234802,0.874956,-1.14291
SLC25A23,0.00127625,0.00384506,0.659893,-1.5154
SLC25A24,4.39E-07,5.92E-06,1.52985,1.52985
SLC25A25,0.000111523,0.000507611,0.82922,-1.20595
SLC25A25-AS1,0.0050152,0.0122288,0.670023,-1.49249
SLC25A26,9.45E-07,1.08E-05,0.684947,-1.45997
SLC25A28,0.00320616,0.00839137,1.28232,1.28232
SLC25A29,0.0775384,0.123448,0.811971,-1.23157
SLC25A3,0.0538826,0.0913013,0.909504,-1.0995
SLC25A30,0.678283,0.742368,0.978181,-1.02231
SLC25A32,0.00503682,0.0122734,0.848316,-1.17881
SLC25A33,0.338885,0.423282,0.941776,-1.06182
SLC25A34,0.112202,0.168578,1.23343,1.23343
SLC25A35,0.0486423,0.0838149,0.821707,-1.21698
SLC25A36,0.0251598,0.048181,0.816904,-1.22413
SLC25A37,0.00588051,0.0140037,1.68073,1.68073
SLC25A38,0.00179016,0.00512891,0.713034,-1.40246
SLC25A39,0.127503,0.18751,0.661227,-1.51234
SLC25A4,0.00507803,0.0123484,0.68038,-1.46977
SLC25A40,0.000723185,0.00239477,1.41615,1.41615
SLC25A42,6.43E-07,7.92E-06,0.622869,-1.60547
SLC25A43,0.116016,0.173253,0.904093,-1.10608
SLC25A44,9.40E-06,6.66E-05,1.54177,1.54177
SLC25A45,0.000142455,0.000619562,0.719944,-1.389
SLC25A46,0.635819,0.705898,0.966854,-1.03428
SLC25A5,7.34E-05,0.000356524,0.752057,-1.32969
SLC25A5-AS1,8.57E-06,6.18E-05,0.711049,-1.40637
SLC25A51,0.2643,0.344866,0.938193,-1.06588
SLC25A53,0.0277648,0.0524224,0.884154,-1.13102
SLC25A6,3.52E-05,0.000194617,0.683803,-1.46241
SLC26A11,0.907795,0.929855,1.0106,1.0106
SLC26A2,0.0179464,0.0362662,0.885381,-1.12946
SLC26A6,0.000137974,0.000603174,1.3995,1.3995
SLC26A8,6.88E-10,6.10E-08,3.69075,3.69075
SLC27A1,0.0485622,0.083717,0.770374,-1.29807
SLC27A2,0.15517,0.222064,0.761338,-1.31348
SLC27A3,0.0836677,0.131551,1.16941,1.16941
SLC27A4,0.000539832,0.00187474,0.776539,-1.28777
SLC27A5,0.00380931,0.00968602,0.809979,-1.2346
SLC28A3,0.00342691,0.00885305,2.07963,2.07963
SLC29A1,0.0143346,0.0300885,0.627617,-1.59333
SLC29A3,0.0082676,0.018759,0.777851,-1.28559
SLC2A1,0.725338,0.782757,1.05139,1.05139
SLC2A1-AS1,0.305101,0.388202,0.875457,-1.14226
SLC2A11,0.046389,0.0805503,0.832374,-1.20138
SLC2A13,0.880139,0.909237,0.990283,-1.00981
SLC2A14,0.0444129,0.0775312,1.78337,1.78337
SLC2A3,5.27E-10,4.95E-08,2.88112,2.88112
